rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n,frequency,mean_ret,hit_rate,t_stat,p_val_raw,p_val_bonf
163,True,True,False,False,False,True,False,True,50,0.0008608815426997245,-0.000280305996891137,0.42,-0.3517152673141973,0.7250518096019483,1.0
164,False,False,True,False,False,True,False,True,65,0.001119146005509642,-0.0004716913486016396,0.4461538461538462,-0.8015993147971296,0.4227847741150871,1.0
165,True,False,True,False,False,True,False,True,105,0.0018078512396694215,-0.000727296572519508,0.4857142857142857,-1.1921089120059587,0.23321854300297107,1.0
166,False,True,True,False,False,True,False,True,45,0.0007747933884297521,-0.0005464951863525222,0.4222222222222222,-1.2792971658296037,0.20079243027386495,1.0
167,True,True,True,False,False,True,False,True,4,6.887052341597796e-05,,,,,
168,False,False,False,True,False,True,False,True,1,1.721763085399449e-05,,,,,
169,True,False,False,True,False,True,False,True,23,0.0003960055096418733,-0.0023303208300575994,0.21739130434782608,-3.214660775566726,0.0013059875664394806,0.33433281700850703
170,False,True,False,True,False,True,False,True,53,0.000912534435261708,0.0005061904437299916,0.5471698113207547,0.35689952324505925,0.7211670265875261,1.0
171,True,True,False,True,False,True,False,True,34,0.0005853994490358127,-0.0012405157788733653,0.3235294117647059,-0.8332418659830884,0.4047083353572173,1.0
172,False,False,True,True,False,True,False,True,23,0.0003960055096418733,0.001708901658410934,0.6956521739130435,1.6906007066417108,0.09091308961946855,1.0
173,True,False,True,True,False,True,False,True,101,0.0017389807162534435,0.0016776958933385632,0.6435643564356436,1.4291752988636788,0.15295385540420706,1.0
174,False,True,True,True,False,True,False,True,15,0.00025826446280991736,-2.3153892360398367e-05,0.5333333333333333,,,
175,True,True,True,True,False,True,False,True,5,8.608815426997245e-05,-0.0020734048784166294,0.2,,,
176,False,False,False,False,True,True,False,True,219,0.0037706611570247936,-0.00011664143804042918,0.4931506849315068,-0.209162263624863,0.8343215701071354,1.0
177,True,False,False,False,True,True,False,True,100,0.001721763085399449,-0.0005930014550726559,0.48,-0.7599567755171212,0.44728042250995226,1.0
178,False,True,False,False,True,True,False,True,49,0.00084366391184573,-0.0006575877693253883,0.32653061224489793,-0.47390268249213113,0.6355693062363941,1.0
179,True,True,False,False,True,True,False,True,67,0.001153581267217631,-0.00012807524173848525,0.34328358208955223,-0.17664010163744012,0.8597910927946598,1.0
180,False,False,True,False,True,True,False,True,79,0.0013601928374655646,-0.00017140930367167992,0.4050632911392405,-0.22315070652846974,0.8234182150647422,1.0
181,True,False,True,False,True,True,False,True,176,0.0030303030303030303,0.0014688607365211028,0.6193181818181818,2.0611835157656397,0.0392855355560146,1.0
182,False,True,True,False,True,True,False,True,160,0.0027548209366391185,0.0012437014540033404,0.68125,2.085209491680997,0.037050288696434175,1.0
183,True,True,True,False,True,True,False,True,65,0.001119146005509642,-0.0005604917805554371,0.6307692307692307,-0.368741004100444,0.7123207822885265,1.0
184,False,False,False,True,True,True,False,True,384,0.006611570247933884,0.00014828957789795165,0.5390625,0.5140188300048947,0.6072388257244864,1.0
185,True,False,False,True,True,True,False,True,159,0.002737603305785124,0.0006092867822133687,0.5849056603773585,1.5234835752921727,0.1276377668342327,1.0
186,False,True,False,True,True,True,False,True,40,0.0006887052341597796,-0.0007338937198398954,0.5,-0.5141289144406201,0.6071618630665176,1.0
187,True,True,False,True,True,True,False,True,95,0.0016356749311294766,0.00023639674899641179,0.5578947368421052,0.44238901925935,0.6582077236455769,1.0
188,False,False,True,True,True,True,False,True,107,0.0018422865013774106,-0.0002473369836142595,0.4205607476635514,-0.6922886647402803,0.4887560671345065,1.0
189,True,False,True,True,True,True,False,True,10,0.0001721763085399449,0.005767290361034317,1.0,,,
190,False,True,True,True,True,True,False,True,198,0.003409090909090909,0.0003111881160543315,0.5808080808080808,1.040001104425483,0.2983393875527941,1.0
191,True,True,True,True,True,True,False,True,201,0.0034607438016528926,0.0002898135796006348,0.6019900497512438,0.8908910284936916,0.37298763376359156,1.0
192,False,False,False,False,False,False,True,True,213,0.0036673553719008263,-0.0003879452090473281,0.4835680751173709,-0.7302735367350763,0.4652230006484541,1.0
193,True,False,False,False,False,False,True,True,239,0.004115013774104683,0.0003529264134555715,0.5815899581589958,1.2695786918383607,0.20423474350358606,1.0
194,False,True,False,False,False,False,True,True,322,0.005544077134986226,8.75765545696409e-05,0.4782608695652174,0.2059173300762911,0.8368554880925897,1.0
195,True,True,False,False,False,False,True,True,351,0.006043388429752066,0.0004807073006322668,0.5868945868945868,1.2263433495275493,0.22006949472884696,1.0
196,False,False,True,False,False,False,True,True,184,0.0031680440771349864,-0.00017209110014001445,0.5108695652173914,-0.2896105863612678,0.7721141671986469,1.0
197,True,False,True,False,False,False,True,True,464,0.007988980716253443,-0.0006094502787790117,0.4504310344827586,-1.8704404289775354,0.06142268215529409,1.0
198,False,True,True,False,False,False,True,True,151,0.002599862258953168,0.00024337399729955125,0.5165562913907285,0.5338654508986462,0.593434626768513,1.0
199,True,True,True,False,False,False,True,True,113,0.0019455922865013774,2.7552089264408558e-05,0.415929203539823,0.046070456993206305,0.9632540929006285,1.0
200,False,False,False,True,False,False,True,True,41,0.0007059228650137741,0.000689124446124207,0.6097560975609756,0.7643013449876456,0.4446876840616826,1.0
