bar_close,expansion_direction,lag_bars
2025-07-15 11:15:00+05:30,-1,1
2025-07-15 12:15:00+05:30,-1,1
2025-07-15 13:15:00+05:30,-1,1
2025-07-15 14:15:00+05:30,-1,1
2025-07-15 15:15:00+05:30,-1,1
2025-07-16 10:15:00+05:30,1,1
2025-08-19 11:15:00+05:30,-1,1
2025-08-19 12:15:00+05:30,-1,1
2025-08-19 13:15:00+05:30,-1,1
2025-08-19 14:15:00+05:30,-1,1
2025-08-19 15:15:00+05:30,-1,1
2025-08-20 10:15:00+05:30,-1,1
2025-08-20 11:15:00+05:30,-1,1
2025-08-20 12:15:00+05:30,-1,1
2025-08-20 13:15:00+05:30,-1,1
2025-08-29 15:15:00+05:30,-1,10
2025-09-10 12:15:00+05:30,-1,10
2025-09-10 13:15:00+05:30,1,1
2025-09-29 15:15:00+05:30,1,10
2025-10-09 10:15:00+05:30,1,10
2025-11-07 13:15:00+05:30,-1,1
2025-11-07 14:15:00+05:30,-1,1
2025-11-07 15:15:00+05:30,-1,1
